,prompt,response,atoms,hallucinated atoms,hallucinated_atomic_units
598,Tell me a bio of Kim Casali," 

Kim Casali was an Australian cartoonist and writer, best known for creating the popular comic strip ""Love Is..."" which was syndicated worldwide and appeared in over 50 countries. She was born on June 16, 1941, in Sydney, Australia.

Casali's early career began as an illustrator and writer for various Australian magazines. In the early 1970s, she created ""Love Is..."", a humorous and poignant comic strip that explored the ups and downs of romantic relationships. The strip's simple yet effective format featured a minimalist drawing style, with captions that read like short poems or aphorisms.

The success of","| Kim Casali was Australian.	False |
| Kim Casali was a cartoonist.	True |
| Kim Casali was a writer.	False |
| Kim Casali created the comic strip ""Love Is...""	True |
| ""Love Is..."" was a popular comic strip.	True |
| ""Love Is..."" was syndicated worldwide.	True |
| ""Love Is..."" appeared in over 50 countries.	True |
| She was born on June 16, 1941.	False |
| She was born in Sydney.	False |
| She was born in Australia.	False |
| Casali's early career began.	True |
| Casali's early career began as an illustrator.	True |
| Casali's early career began as a writer.	False |
| Casali's early career began as an illustrator for various Australian magazines.	False |
| Casali's early career began as a writer for various Australian magazines.	False |
| In the early 1970s, she created ""Love Is..."".	True |
| ""Love Is..."" is a comic strip.	True |
| ""Love Is..."" is humorous and poignant.	True |
| ""Love Is..."" explored the ups and downs of romantic relationships.	True |
| The strip had a simple format.	True |
| The strip had an effective format.	True |
| The strip featured a minimalist drawing style.	True |
| The captions read like short poems.	False |
| The captions read like aphorisms.	True |
","| Kim Casali was Australian. |
| Kim Casali was a writer. |
| She was born on June 16, 1941. |
| She was born in Sydney. |
| She was born in Australia. |
| Casali's early career began as a writer. |
| Casali's early career began as an illustrator for various Australian magazines. |
| Casali's early career began as a writer for various Australian magazines. |
| The captions read like short poems. |
","[('born', 'Sydney'), ('born', 'Australia')]"
602,Tell me a bio of Jack Leach," 

Jack Leach is an English cricketer who plays for Somerset County Cricket Club and the England national team. He was born on June 22, 1991, in Taunton, Somerset.

Leach is a left-arm orthodox spin bowler who has been known for his unorthodox action, which has drawn comparisons to the Australian spinner Monty Panesar. He made his first-class debut for Somerset in 2012 and quickly established himself as one of the top spinners in county cricket.

In 2018, Leach made his Test debut for England against New Zealand at Auckland's Eden Park. He took three","| Jack Leach is a cricketer.	True |
| Jack Leach is English.	True |
| Jack Leach plays for Somerset County Cricket Club.	True |
| Jack Leach plays for the England national team.	True |
| He was born on June 22, 1991.	True |
| He was born in Taunton.	True |
| He was born in Somerset.	False |
| Leach is a left-arm orthodox spin bowler.	True |
| Leach is known for his unorthodox action.	False |
| Leach's unorthodox action has drawn comparisons to Monty Panesar.	True |
| Monty Panesar is an Australian spinner.	False |
| He made his first-class debut for Somerset.	True |
| He made his first-class debut in 2012.	True |
| He quickly established himself.	True |
| He quickly established himself as one of the top spinners.	True |
| He quickly established himself as one of the top spinners in county cricket.	True |
| The year was 2018.	True |
| Leach made his Test debut.	True |
| Leach made his Test debut for England.	True |
| The match was against New Zealand.	True |
| The match took place at Auckland's Eden Park.	False |
","| He was born in Somerset. |
| Leach is known for his unorthodox action. |
| Monty Panesar is an Australian spinner. |
| The match took place at Auckland's Eden Park. |
","[('born', 'Somerset')]"
607,Tell me a bio of Regina Martínez Pérez," 

Regina Martínez Pérez was a Mexican journalist and writer who specialized in covering crime and corruption. She was born on September 7, 1964, in Mexico City, Mexico.

Martínez worked as a reporter for the Mexican magazine Proceso, one of the most respected and widely read news outlets in Mexico. She covered stories related to organized crime, drug trafficking, and government corruption, often putting herself at risk by investigating sensitive topics.

Throughout her career, Martínez received numerous threats and warnings from criminal organizations and government officials due to her investigative reporting. Despite these risks, she continued to write about the dark under","| Regina Martínez Pérez was a Mexican.	True |
| Regina Martínez Pérez was a journalist.	True |
| Regina Martínez Pérez was a writer.	False |
| Regina Martínez Pérez specialized in covering crime.	True |
| Regina Martínez Pérez specialized in covering corruption.	True |
| She was born on September 7, 1964.	False |
| She was born in Mexico City.	False |
| She was born in Mexico.	True |
| Martínez worked as a reporter.	True |
| Martínez worked for the Mexican magazine Proceso.	True |
| Proceso is a respected news outlet in Mexico.	True |
| Proceso is a widely read news outlet in Mexico.	True |
| She covered stories related to organized crime.	True |
| She covered stories related to drug trafficking.	True |
| She covered stories related to government corruption.	True |
| She often put herself at risk.	True |
| She investigated sensitive topics.	True |
| Martínez received threats.	True |
| Martínez received warnings.	True |
| The threats and warnings were from criminal organizations.	False |
| The threats and warnings were from government officials.	True |
| The threats and warnings were due to her investigative reporting.	True |
| Martínez's investigative reporting led to threats and warnings from criminal organizations and government officials.	True |
| Martínez received numerous threats and warnings throughout her career.	True |
","| Regina Martínez Pérez was a writer. |
| She was born on September 7, 1964. |
| She was born in Mexico City. |
| The threats and warnings were from criminal organizations. |
","[('born', 'Mexico City')]"
608,Tell me a bio of Nisar Ahmad Kakru," 

Nisar Ahmad Kakru is an Indian politician and the current Minister of State for Cooperatives in the Government of Jammu and Kashmir. He was born on November 12, 1952, in Kakru village, Pulwama district, Jammu and Kashmir.

Kakru completed his early education from Government Higher Secondary School, Pulwama, and later pursued his Bachelor's degree from Sri Pratap College, Srinagar. He holds a Master's degree in Political Science from the University of Kashmir.

Before entering politics, Kakru worked as a teacher and later as a bank officer. He started his political career","| Nisar Ahmad Kakru is an Indian.	True |
| Nisar Ahmad Kakru is a politician.	False |
| Nisar Ahmad Kakru is the current Minister of State for Cooperatives.	False |
| Nisar Ahmad Kakru is in the Government of Jammu and Kashmir.	True |
| He was born on November 12, 1952.	False |
| He was born in Kakru village.	False |
| He was born in Pulwama district.	False |
| He was born in Jammu and Kashmir.	False |
| Kakru completed his early education from Government Higher Secondary School, Pulwama.	False |
| Kakru later pursued his Bachelor's degree.	True |
| Kakru pursued his Bachelor's degree from Sri Pratap College, Srinagar.	True |
| He holds a Master's degree.	True |
| The Master's degree is in Political Science.	False |
| He obtained the Master's degree from the University of Kashmir.	False |
| Kakru worked as a teacher before entering politics.	False |
| Kakru worked as a bank officer before entering politics.	False |
| He started his political career.	False |
","| Nisar Ahmad Kakru is a politician. |
| Nisar Ahmad Kakru is the current Minister of State for Cooperatives. |
| He was born on November 12, 1952. |
| He was born in Kakru village. |
| He was born in Pulwama district. |
| He was born in Jammu and Kashmir. |
| Kakru completed his early education from Government Higher Secondary School, Pulwama. |
| The Master's degree is in Political Science. |
| He obtained the Master's degree from the University of Kashmir. |
| Kakru worked as a teacher before entering politics. |
| Kakru worked as a bank officer before entering politics. |
| He started his political career. |
","[('born', 'Kakru village'), ('born', 'Pulwama district'), ('born', 'Jammu and Kashmir')]"
609,Tell me a bio of Rob Furlong," 

Rob Furlong is a former Canadian Army sniper who holds the record for the longest confirmed sniper kill in history. He achieved this feat on March 2, 2002, during the War in Afghanistan.

Born on January 11, 1976, in Newmarket, Ontario, Canada, Furlong enlisted in the Canadian Army in 1996 and joined the Princess Patricia's Canadian Light Infantry (PPCLI). He later became a member of the elite Joint Task Force 2 (JTF-2), an elite special operations unit.

Furlong's record-breaking shot was made with a McMillan Tac-50","| Rob Furlong is a person.	True |
| Rob Furlong is a former Canadian Army sniper.	True |
| Rob Furlong holds a record.	True |
| The record is for the longest confirmed sniper kill in history.	True |
| He achieved a feat.	True |
| He achieved the feat on March 2, 2002.	False |
| The feat was achieved during the War in Afghanistan.	True |
| Furlong was born on January 11, 1976.	False |
| Furlong was born in Newmarket, Ontario, Canada.	False |
| Furlong enlisted in the Canadian Army in 1996.	False |
| Furlong joined the Princess Patricia's Canadian Light Infantry (PPCLI).	True |
| He later became a member of Joint Task Force 2 (JTF-2).	False |
| Joint Task Force 2 (JTF-2) is an elite special operations unit.	True |
| Furlong made a record-breaking shot.	True |
| The shot was made with a McMillan Tac-50.	True |
","| He achieved the feat on March 2, 2002. |
| Furlong was born on January 11, 1976. |
| Furlong was born in Newmarket, Ontario, Canada. |
| Furlong enlisted in the Canadian Army in 1996. |
| He later became a member of Joint Task Force 2 (JTF-2). |
","[('born', 'Newmarket, Ontario, Canada')]"
612,Tell me a bio of Julia Faye," 

Julia Faye (1893-1966) was an American actress, screenwriter, and film director who worked primarily during the silent film era. Born on September 24, 1893, in Richmond, Virginia, she began her career as a stage actress before transitioning to films.

Faye started working with Cecil B. DeMille, one of the most prominent filmmakers of the time, as an actress and screenwriter. She appeared in over 30 films between 1915 and 1930, often playing strong-willed, independent women. Some of her notable roles include ""The Cheat"" (1915),","| Julia Faye was born in 1893 and died in 1966.	False |
| Julia Faye was an American.	True |
| Julia Faye was an actress.	True |
| Julia Faye was a screenwriter.	False |
| Julia Faye was a film director.	False |
| Julia Faye worked primarily during the silent film era.	True |
| She was born on September 24, 1893.	False |
| She was born in Richmond, Virginia.	True |
| She began her career as a stage actress.	False |
| She transitioned to films from stage acting.	True |
| Faye started working with Cecil B. DeMille.	True |
| Cecil B. DeMille was one of the most prominent filmmakers of the time.	True |
| Faye worked with Cecil B. DeMille as an actress.	True |
| Faye worked with Cecil B. DeMille as a screenwriter.	False |
| She appeared in over 30 films.	True |
| She appeared in films between 1915 and 1930.	True |
| She often played strong-willed women.	True |
| She often played independent women.	True |
| She has notable roles.	True |
| One of her notable roles is in The Cheat.	False |
| The Cheat is a film.	False |
| The Cheat was released in 1915.	False |
","| Julia Faye was born in 1893 and died in 1966. |
| Julia Faye was a screenwriter. |
| Julia Faye was a film director. |
| She was born on September 24, 1893. |
| She began her career as a stage actress. |
| Faye worked with Cecil B. DeMille as a screenwriter. |
| One of her notable roles is in The Cheat. |
| The Cheat is a film. |
| The Cheat was released in 1915. |
","[('born', '1893 and died in 1966')]"
613,Tell me a bio of Luis Guillermo Rivera," 

Luis Guillermo Rivera is a Puerto Rican professional boxer who was born on August 12, 1986, in Philadelphia, Pennsylvania. He is the son of former professional boxer and trainer, Luis Rivera Sr.

Rivera began boxing at the age of 10 and had an impressive amateur career, winning the 2007 National Golden Gloves championship at welterweight. He turned pro in 2008 and quickly racked up a string of victories, earning himself a top-10 ranking by the World Boxing Council (WBC) within his first two years as a pro.

In 2011, Rivera faced off against Mike Jones for","| Luis Guillermo Rivera is a professional boxer.	False |
| Luis Guillermo Rivera is Puerto Rican.	False |
| Luis Guillermo Rivera was born on August 12, 1986.	False |
| Luis Guillermo Rivera was born in Philadelphia, Pennsylvania.	False |
| He is the son.	True |
| His father is a former professional boxer.	False |
| His father is a trainer.	True |
| His father's name is Luis Rivera Sr.	False |
| Rivera began boxing at the age of 10.	False |
| Rivera had an impressive amateur career.	False |
| Rivera won the 2007 National Golden Gloves championship.	False |
| Rivera won the championship at welterweight.	False |
| He turned pro in 2008.	False |
| He quickly racked up a string of victories.	False |
| He earned himself a top-10 ranking.	False |
| He earned himself a top-10 ranking by the World Boxing Council (WBC).	False |
| He earned himself a top-10 ranking by the World Boxing Council (WBC) within his first two years as a pro.	False |
| It was 2011.	False |
| Rivera faced off against Mike Jones.	False |
","| Luis Guillermo Rivera is a professional boxer. |
| Luis Guillermo Rivera is Puerto Rican. |
| Luis Guillermo Rivera was born on August 12, 1986. |
| Luis Guillermo Rivera was born in Philadelphia, Pennsylvania. |
| His father is a former professional boxer. |
| His father's name is Luis Rivera Sr. |
| Rivera began boxing at the age of 10. |
| Rivera had an impressive amateur career. |
| Rivera won the 2007 National Golden Gloves championship. |
| Rivera won the championship at welterweight. |
| He turned pro in 2008. |
| He quickly racked up a string of victories. |
| He earned himself a top-10 ranking. |
| He earned himself a top-10 ranking by the World Boxing Council (WBC). |
| He earned himself a top-10 ranking by the World Boxing Council (WBC) within his first two years as a pro. |
| It was 2011. |
| Rivera faced off against Mike Jones. |
","[('born', 'Philadelphia, Pennsylvania')]"
615,Tell me a bio of Lanny Flaherty," 

Lanny Flaherty is an American actor, born on July 14, 1942, in Pontiac, Michigan. He has had a long and distinguished career in film, television, and theater.

Flaherty began his acting career in the early 1970s, appearing in various stage productions and Off-Broadway plays. He made his Broadway debut in 1974 with a role in the musical ""Seesaw."" Throughout the 1970s and 1980s, he continued to work extensively in theater, performing in numerous productions both on and off Broadway.

In addition to his stage work, Fl","| Lanny Flaherty is an American actor.	True |
| Lanny Flaherty was born on July 14, 1942.	False |
| Lanny Flaherty was born in Pontiac, Michigan.	False |
| He has had a long career.	True |
| He has had a distinguished career.	True |
| He has had a career in film.	True |
| He has had a career in television.	True |
| He has had a career in theater.	False |
| Flaherty began his acting career.	True |
| Flaherty began his acting career in the early 1970s.	False |
| Flaherty appeared in various stage productions.	True |
| Flaherty appeared in Off-Broadway plays.	True |
| Flaherty appeared in Off-Broadway plays in the early 1970s.	True |
| He made his Broadway debut.	False |
| His Broadway debut was in 1974.	False |
| His Broadway debut was with a role in the musical ""Seesaw."".	False |
| It was the 1970s.	False |
| It was the 1980s.	False |
| He worked extensively in theater.	True |
| He performed in numerous productions.	True |
| He performed in numerous productions on Broadway.	False |
| He performed in numerous productions off Broadway.	True |
| He worked extensively in theater throughout the 1970s.	True |
| He worked extensively in theater throughout the 1980s.	True |
","| Lanny Flaherty was born on July 14, 1942. |
| Lanny Flaherty was born in Pontiac, Michigan. |
| He has had a career in theater. |
| Flaherty began his acting career in the early 1970s. |
| He made his Broadway debut. |
| His Broadway debut was in 1974. |
| His Broadway debut was with a role in the musical ""Seesaw."". |
| It was the 1970s. |
| It was the 1980s. |
| He performed in numerous productions on Broadway. |
","[('born', 'Pontiac, Michigan')]"
616,Tell me a bio of Jean Daullé," 

Jean Daullé was a French painter, born on March 18, 1906, in Paris, France. He was known for his unique style that blended elements of Surrealism and abstraction.

Daullé studied art at the École des Beaux-Arts in Paris, where he was influenced by the works of artists such as Pablo Picasso and Georges Braque. In the 1930s, he became associated with the Surrealist movement, led by André Breton, and participated in several group exhibitions.

During World War II, Daullé joined the French Resistance and continued to paint, often incorporating themes related to","| Jean Daullé was a painter.	False |
| Jean Daullé was French.	True |
| Jean Daullé was born on March 18, 1906.	False |
| Jean Daullé was born in Paris, France.	False |
| He was known for his unique style.	True |
| His unique style blended elements of Surrealism.	False |
| His unique style blended elements of abstraction.	False |
| Daullé studied art.	True |
| Daullé studied art at the École des Beaux-Arts in Paris.	False |
| Daullé was influenced by the works of artists such as Pablo Picasso.	False |
| Daullé was influenced by the works of artists such as Georges Braque.	False |
| It was the 1930s.	False |
| He became associated with the Surrealist movement.	False |
| The Surrealist movement was led by André Breton.	False |
| He participated in several group exhibitions.	False |
| Daullé joined the French Resistance during World War II.	False |
| Daullé continued to paint during World War II.	False |
| Daullé often incorporated themes related to something in his paintings.	False |
","| Jean Daullé was a painter. |
| Jean Daullé was born on March 18, 1906. |
| Jean Daullé was born in Paris, France. |
| His unique style blended elements of Surrealism. |
| His unique style blended elements of abstraction. |
| Daullé studied art at the École des Beaux-Arts in Paris. |
| Daullé was influenced by the works of artists such as Pablo Picasso. |
| Daullé was influenced by the works of artists such as Georges Braque. |
| It was the 1930s. |
| He became associated with the Surrealist movement. |
| The Surrealist movement was led by André Breton. |
| He participated in several group exhibitions. |
| Daullé joined the French Resistance during World War II. |
| Daullé continued to paint during World War II. |
| Daullé often incorporated themes related to something in his paintings. |
","[('born', 'Paris, France')]"
617,Tell me a bio of Daniel Charles," 

Daniel Craig is a British actor born on March 27, 1968, in Chester, Cheshire, England. He is best known for playing the iconic role of James Bond in the 2006 film ""Casino Royale,"" as well as its sequels ""Quantum of Solace"" (2008), ""Skyfall"" (2012), and ""Spectre"" (2015).

Craig's early life was marked by his parents' divorce when he was young. He moved to Liverpool with his mother and sister, where he developed an interest in acting at an early age. He attended Hilbre High School and","| Daniel Craig is a British actor.	False |
| Daniel Craig was born on March 27, 1968.	False |
| Daniel Craig was born in Chester.	False |
| Daniel Craig was born in Cheshire.	False |
| Daniel Craig was born in England.	False |
| He is best known for playing James Bond.	False |
| He played James Bond in Casino Royale.	False |
| Casino Royale is a film.	False |
| Casino Royale was released in 2006.	False |
| He played James Bond in Quantum of Solace.	False |
| Quantum of Solace is a film.	False |
| Quantum of Solace was released in 2008.	False |
| He played James Bond in Skyfall.	False |
| Skyfall is a film.	False |
| Skyfall was released in 2012.	False |
| He played James Bond in Spectre.	False |
| Spectre is a film.	False |
| Spectre was released in 2015.	False |
| Craig's early life.	False |
| Craig's early life was marked by his parents' divorce.	False |
| Craig was young when his parents' divorced.	False |
| Craig's parents are divorced.	False |
| He moved to Liverpool.	False |
| He moved to Liverpool with his mother.	False |
| He moved to Liverpool with his sister.	False |
| He developed an interest in acting.	False |
| He developed an interest in acting at an early age.	False |
","| Daniel Craig is a British actor. |
| Daniel Craig was born on March 27, 1968. |
| Daniel Craig was born in Chester. |
| Daniel Craig was born in Cheshire. |
| Daniel Craig was born in England. |
| He is best known for playing James Bond. |
| He played James Bond in Casino Royale. |
| Casino Royale is a film. |
| Casino Royale was released in 2006. |
| He played James Bond in Quantum of Solace. |
| Quantum of Solace is a film. |
| Quantum of Solace was released in 2008. |
| He played James Bond in Skyfall. |
| Skyfall is a film. |
| Skyfall was released in 2012. |
| He played James Bond in Spectre. |
| Spectre is a film. |
| Spectre was released in 2015. |
| Craig's early life. |
| Craig's early life was marked by his parents' divorce. |
| Craig was young when his parents' divorced. |
| Craig's parents are divorced. |
| He moved to Liverpool. |
| He moved to Liverpool with his mother. |
| He moved to Liverpool with his sister. |
| He developed an interest in acting. |
| He developed an interest in acting at an early age. |
","[('born', 'Chester'), ('born', 'Cheshire'), ('born', 'England')]"
619,Tell me a bio of Jessica Barboza," 

Jessica Barbosa is a Brazilian volleyball player who has made a significant impact in the sport. Born on July 22, 1992, in Rio de Janeiro, Brazil, she began playing volleyball at a young age and quickly rose through the ranks.

Barbosa started her professional career with the Brazilian club Sollys Osasco, where she won several national championships. In 2013, she joined the Italian club Nordmeccanica Piacenza, marking the beginning of her international career.

Throughout her career, Barbosa has represented Brazil in numerous international competitions, including the Olympic Games, World Championships, and World Grand Prix","| Jessica Barbosa is a person.	True |
| Jessica Barbosa is a Brazilian.	False |
| Jessica Barbosa is a volleyball player.	False |
| Jessica Barbosa has made a significant impact in the sport.	False |
| She was born on July 22, 1992.	False |
| She was born in Rio de Janeiro, Brazil.	False |
| She began playing volleyball at a young age.	False |
| She quickly rose through the ranks.	True |
| Barbosa started her professional career.	True |
| Barbosa started her professional career with Sollys Osasco.	False |
| Sollys Osasco is a Brazilian club.	False |
| Barbosa won several national championships.	False |
| Barbosa won several national championships with Sollys Osasco.	False |
| In 2013, she joined Nordmeccanica Piacenza.	False |
| Nordmeccanica Piacenza is an Italian club.	False |
| She joined Nordmeccanica Piacenza in 2013.	False |
| Joining Nordmeccanica Piacenza marked the beginning of her international career.	True |
| Barbosa has a career.	True |
| Barbosa has represented Brazil.	False |
| Barbosa has represented Brazil in numerous international competitions.	False |
| Barbosa has represented Brazil in the Olympic Games.	False |
| Barbosa has represented Brazil in World Championships.	False |
| Barbosa has represented Brazil in World Grand Prix.	False |
","| Jessica Barbosa is a Brazilian. |
| Jessica Barbosa is a volleyball player. |
| Jessica Barbosa has made a significant impact in the sport. |
| She was born on July 22, 1992. |
| She was born in Rio de Janeiro, Brazil. |
| She began playing volleyball at a young age. |
| Barbosa started her professional career with Sollys Osasco. |
| Sollys Osasco is a Brazilian club. |
| Barbosa won several national championships. |
| Barbosa won several national championships with Sollys Osasco. |
| In 2013, she joined Nordmeccanica Piacenza. |
| Nordmeccanica Piacenza is an Italian club. |
| She joined Nordmeccanica Piacenza in 2013. |
| Barbosa has represented Brazil. |
| Barbosa has represented Brazil in numerous international competitions. |
| Barbosa has represented Brazil in the Olympic Games. |
| Barbosa has represented Brazil in World Championships. |
| Barbosa has represented Brazil in World Grand Prix. |
","[('born', 'Rio de Janeiro, Brazil')]"
620,Tell me a bio of Vincenzo Tusa," 

Vincenzo Tusa is an Italian professional footballer who plays as a goalkeeper for Serie A club Hellas Verona and the Italy national team.

Born on January 2, 1999, in Naples, Italy, Tusa began his youth career at local club Napoli before moving to Hellas Verona's youth academy in 2017. He made his professional debut for Verona in 2020 and quickly established himself as the team's first-choice goalkeeper.

Tusa's impressive performances at the club level earned him a call-up to the Italy U21 national team, where he made his debut in 2020.","| Vincenzo Tusa is Italian.	True |
| Vincenzo Tusa is a professional footballer.	False |
| Vincenzo Tusa plays as a goalkeeper.	False |
| Vincenzo Tusa plays for Serie A club Hellas Verona.	False |
| Vincenzo Tusa also plays for the Italy national team.	False |
| Tusa was born on January 2, 1999.	False |
| Tusa was born in Naples, Italy.	False |
| Tusa began his youth career at local club Napoli.	False |
| Tusa moved to Hellas Verona's youth academy in 2017.	False |
| He made his professional debut.	True |
| He made his professional debut for Verona.	False |
| He made his professional debut for Verona in 2020.	False |
| He quickly established himself.	True |
| He quickly established himself as the team's first-choice goalkeeper.	False |
| He quickly established himself as the team's first-choice goalkeeper for Verona.	False |
| Tusa had impressive performances at the club level.	False |
| Tusa earned a call-up to the Italy U21 national team.	False |
| Tusa made his debut with the Italy U21 national team in 2020.	False |
","| Vincenzo Tusa is a professional footballer. |
| Vincenzo Tusa plays as a goalkeeper. |
| Vincenzo Tusa plays for Serie A club Hellas Verona. |
| Vincenzo Tusa also plays for the Italy national team. |
| Tusa was born on January 2, 1999. |
| Tusa was born in Naples, Italy. |
| Tusa began his youth career at local club Napoli. |
| Tusa moved to Hellas Verona's youth academy in 2017. |
| He made his professional debut for Verona. |
| He made his professional debut for Verona in 2020. |
| He quickly established himself as the team's first-choice goalkeeper. |
| He quickly established himself as the team's first-choice goalkeeper for Verona. |
| Tusa had impressive performances at the club level. |
| Tusa earned a call-up to the Italy U21 national team. |
| Tusa made his debut with the Italy U21 national team in 2020. |
","[('born', 'Naples, Italy')]"
621,Tell me a bio of Lewis Nkosi," 

Lewis Nkosi (1936-2010) was a South African writer, critic, and journalist. Born in Durban, Natal (now KwaZulu-Natal), South Africa, on December 5, 1936, Nkosi grew up during the apartheid era. He attended Durban Indian High School and later studied at the University of Natal.

Nkosi began his writing career as a journalist, working for various newspapers, including Drum magazine, where he became friends with other prominent writers like Can Themba and Nat Nakasa. In the early 1960s, he left South Africa to escape the","| Lewis Nkosi was born in 1936.	True |
| Lewis Nkosi passed away in 2010.	True |
| Lewis Nkosi was South African.	True |
| Lewis Nkosi was a writer.	True |
| Lewis Nkosi was a critic.	True |
| Lewis Nkosi was a journalist.	True |
| Nkosi was born in Durban.	False |
| Durban is in Natal (now KwaZulu-Natal).	True |
| Natal is now KwaZulu-Natal.	True |
| Nkosi was born in South Africa.	True |
| Nkosi was born on December 5, 1936.	True |
| Nkosi grew up during the apartheid era.	True |
| He attended Durban Indian High School.	False |
| He studied at the University of Natal.	False |
| He later studied at the University of Natal.	False |
| Nkosi began his writing career as a journalist.	True |
| Nkosi worked for various newspapers.	True |
| Nkosi worked for Drum magazine.	True |
| Nkosi became friends with Can Themba.	True |
| Nkosi became friends with Nat Nakasa.	True |
| Can Themba is a prominent writer.	False |
| Nat Nakasa is a prominent writer.	False |
| It was the early 1960s.	True |
| He left South Africa.	True |
| He left South Africa to escape something.	True |
","| Nkosi was born in Durban. |
| He attended Durban Indian High School. |
| He studied at the University of Natal. |
| He later studied at the University of Natal. |
| Can Themba is a prominent writer. |
| Nat Nakasa is a prominent writer. |
","[('born', 'Durban')]"
623,Tell me a bio of Kourosh Zolani," 

Kourosh Zolani is an Iranian professional footballer who plays as a striker for the Iran national team and various clubs. Here's his bio:

**Early Life and Club Career:**
Kourosh Zolani was born on July 27, 1983, in Tehran, Iran. He began his professional career with Rah Ahan FC in the Iranian Pro League in 2006. Over the years, he has played for several clubs, including Persepolis FC, Sepahan SC, and Aluminium Hormozgan.

**International Career:**
Zolani made his debut for the Iran national team in ","| Kourosh Zolani is Iranian.	True |
| Kourosh Zolani is a professional footballer.	False |
| Kourosh Zolani plays as a striker.	False |
| Kourosh Zolani plays for the Iran national team.	False |
| Kourosh Zolani plays for various clubs.	False |
| The topic is ""Early Life.""	True |
| The topic is ""Club Career."".	False |
| Kourosh Zolani was born on July 27, 1983.	False |
| Kourosh Zolani was born in Tehran.	False |
| Kourosh Zolani was born in Iran.	True |
| He began his professional career.	True |
| He began his professional career with Rah Ahan FC.	False |
| Rah Ahan FC is in the Iranian Pro League.	False |
| He began his professional career with Rah Ahan FC in 2006.	False |
| He has played for several clubs.	False |
| He has played for Persepolis FC.	False |
| He has played for Sepahan SC.	False |
| He has played for Aluminium Hormozgan.	False |
| He has played for several clubs over the years.	False |
| There is an international career.	True |
| The career is international.	True |
| Zolani made his debut.	True |
| Zolani made his debut for the Iran national team.	False |
","| Kourosh Zolani is a professional footballer. |
| Kourosh Zolani plays as a striker. |
| Kourosh Zolani plays for the Iran national team. |
| Kourosh Zolani plays for various clubs. |
| The topic is ""Club Career."". |
| Kourosh Zolani was born on July 27, 1983. |
| Kourosh Zolani was born in Tehran. |
| He began his professional career with Rah Ahan FC. |
| Rah Ahan FC is in the Iranian Pro League. |
| He began his professional career with Rah Ahan FC in 2006. |
| He has played for several clubs. |
| He has played for Persepolis FC. |
| He has played for Sepahan SC. |
| He has played for Aluminium Hormozgan. |
| He has played for several clubs over the years. |
| Zolani made his debut for the Iran national team. |
","[('born', 'Tehran')]"
624,Tell me a bio of Jesse Foppert," 

Jesse Foppert is an American former professional baseball player who played in Major League Baseball (MLB) from 2003 to 2005. He was a right-handed pitcher.

Foppert was born on July 10, 1980, in Reading, Pennsylvania. He attended San Francisco University High School and later went on to play college baseball at the University of San Francisco.

The San Francisco Giants selected Foppert in the second round (74th overall) of the 2001 MLB draft. He made his professional debut with the Salem-Keizer Volcanoes in 2001 and quickly rose through the","| Jesse Foppert is an American.	True |
| Jesse Foppert is a former professional baseball player.	True |
| Jesse Foppert played in Major League Baseball (MLB).	True |
| Jesse Foppert played in MLB from 2003 to 2005.	True |
| He was a pitcher.	True |
| He was right-handed.	True |
| Foppert was born on July 10, 1980.	True |
| Foppert was born in Reading, Pennsylvania.	False |
| He attended San Francisco University High School.	False |
| He later played college baseball.	True |
| He played college baseball at the University of San Francisco.	True |
| The San Francisco Giants selected Foppert.	True |
| The San Francisco Giants selected Foppert in the second round.	True |
| The San Francisco Giants selected Foppert with the 74th overall pick.	True |
| The San Francisco Giants selected Foppert in the 2001 MLB draft.	True |
| He made his professional debut.	True |
| He made his professional debut with the Salem-Keizer Volcanoes.	True |
| The Salem-Keizer Volcanoes is a team.	True |
| The professional debut with the Salem-Keizer Volcanoes was in 2001.	True |
| He quickly rose through the ranks.	True |
","| Foppert was born in Reading, Pennsylvania. |
| He attended San Francisco University High School. |
","[('born', 'Reading, Pennsylvania')]"
